Year,Term,Course Code,Course Title,Status,Credits,Prerequisites,Course Type,Description
First,First,0714 02 CSE 1100,Computer Fundamentals,Core,1.5,None,Theory,Computer Fundamentals (0714 02 CSE 1100): Theory course with 1.5 credits. Prerequisite: None.
First,First,0714 02 CSE 1101,Structured Programming,Core,3.0,None,Theory,Structured Programming (0714 02 CSE 1101): Theory course with 3.0 credits. Prerequisite: None.
First,First,0714 02 CSE 1102,Structured Programming Laboratory,Core,1.5,None,Sessional,Structured Programming Laboratory (0714 02 CSE 1102): Sessional course with 1.5 credits. Prerequisite: None.
First,First,0714 02 CSE 1103,Discrete Mathematics,Core,3.0,None,Theory,Discrete Mathematics (0714 02 CSE 1103): Theory course with 3.0 credits. Prerequisite: None.
First,First,0541 02 Math 1151,Calculus,Core,3.0,None,Theory,Calculus (0541 02 Math 1151): Theory course with 3.0 credits. Prerequisite: None.
First,First,0533 02 Phy 1151,Physics,Core,3.0,None,Theory,Physics (0533 02 Phy 1151): Theory course with 3.0 credits. Prerequisite: None.
First,First,0533 02 Phy 1152,Physics Laboratory,Core,1.0,None,Sessional,Physics Laboratory (0533 02 Phy 1152): Sessional course with 1.0 credits. Prerequisite: None.
First,First,0231 02 Eng 1151,English,Core,2.0,None,Theory,English (0231 02 Eng 1151): Theory course with 2.0 credits. Prerequisite: None.
First,First,0231 02 Eng 1152,English Skills Laboratory,Core,1.0,None,Sessional,English Skills Laboratory (0231 02 Eng 1152): Sessional course with 1.0 credits. Prerequisite: None.
First,Second,0714 02 CSE 1200,Structured Programming Project,Core,1.5,None,Sessional,Structured Programming Project (0714 02 CSE 1200): Sessional course with 1.5 credits. Prerequisite: None.
First,Second,0714 02 CSE 1201,Object Oriented Programming,Core,3.0,None,Theory,Object Oriented Programming (0714 02 CSE 1201): Theory course with 3.0 credits. Prerequisite: None.
First,Second,0714 02 CSE 1202,Object Oriented Programming Laboratory,Core,1.5,None,Sessional,Object Oriented Programming Laboratory (0714 02 CSE 1202): Sessional course with 1.5 credits. Prerequisite: None.
First,Second,0714 02 ECE 1251,Electrical Circuits,Core,3.0,None,Theory,Electrical Circuits (0714 02 ECE 1251): Theory course with 3.0 credits. Prerequisite: None.
First,Second,0714 02 ECE 1252,Electrical Circuits Laboratory,Core,1.0,None,Sessional,Electrical Circuits Laboratory (0714 02 ECE 1252): Sessional course with 1.0 credits. Prerequisite: None.
First,Second,0715 02 ME 1251,Mechanics and Heat Engineering,Core,2.0,None,Theory,Mechanics and Heat Engineering (0715 02 ME 1251): Theory course with 2.0 credits. Prerequisite: None.
First,Second,0715 02 ME 1252,Engineering Drawing and CAD Project,Core,1.0,None,Sessional,Engineering Drawing and CAD Project (0715 02 ME 1252): Sessional course with 1.0 credits. Prerequisite: None.
First,Second,0541 02 Math 1251,Coordinate Geometry and Linear Algebra,Core,3.0,None,Theory,Coordinate Geometry and Linear Algebra (0541 02 Math 1251): Theory course with 3.0 credits. Prerequisite: None.
First,Second,0531 02 Chem 1251,Chemistry,Core,3.0,None,Theory,Chemistry (0531 02 Chem 1251): Theory course with 3.0 credits. Prerequisite: None.
First,Second,0311 02 Econ 1251,Economics for Engineers,Core,2.0,None,Theory,Economics for Engineers (0311 02 Econ 1251): Theory course with 2.0 credits. Prerequisite: None.
Second,First,0714 02 CSE 2100,Advanced Programming Laboratory,Core,1.5,None,Sessional,Advanced Programming Laboratory (0714 02 CSE 2100): Sessional course with 1.5 credits. Prerequisite: None.
Second,First,0714 02 CSE 2101,Data Structures,Core,3.0,0714 02 CSE 1101/0714 02 CSE 1103,Theory,Data Structures (0714 02 CSE 2101): Theory course with 3.0 credits. Prerequisite: 0714 02 CSE 1101/0714 02 CSE 1103.
Second,First,0714 02 CSE 2102,Data Structures Laboratory,Core,1.5,None,Sessional,Data Structures Laboratory (0714 02 CSE 2102): Sessional course with 1.5 credits. Prerequisite: None.
Second,First,0714 02 CSE 2103,Numerical Methods for Engineers,Core,3.0,None,Theory,Numerical Methods for Engineers (0714 02 CSE 2103): Theory course with 3.0 credits. Prerequisite: None.
Second,First,0714 02 CSE 2104,Numerical Methods for Engineers Laboratory,Core,1.0,None,Sessional,Numerical Methods for Engineers Laboratory (0714 02 CSE 2104): Sessional course with 1.0 credits. Prerequisite: None.
Second,First,0714 02 CSE 2105,Digital Logic Design,Core,3.0,None,Theory,Digital Logic Design (0714 02 CSE 2105): Theory course with 3.0 credits. Prerequisite: None.
Second,First,0714 02 CSE 2106,Digital Logic Design Laboratory,Core,1.5,None,Sessional,Digital Logic Design Laboratory (0714 02 CSE 2106): Sessional course with 1.5 credits. Prerequisite: None.
Second,First,0714 02 ECE 2151,Electronic Devices and Circuits,Core,3.0,None,Theory,Electronic Devices and Circuits (0714 02 ECE 2151): Theory course with 3.0 credits. Prerequisite: None.
Second,First,0714 02 ECE 2152,Electronic Devices and Circuits Laboratory,Core,1.0,None,Sessional,Electronic Devices and Circuits Laboratory (0714 02 ECE 2152): Sessional course with 1.0 credits. Prerequisite: None.
Second,First,0541 02 Math 2151,Differential Equations,Core,3.0,None,Theory,Differential Equations (0541 02 Math 2151): Theory course with 3.0 credits. Prerequisite: None.
Second,Second,0714 02 CSE 2201,Algorithms,Core,3.0,0714 02 CSE 1103/0714 02 CSE 2101,Theory,Algorithms (0714 02 CSE 2201): Theory course with 3.0 credits. Prerequisite: 0714 02 CSE 1103/0714 02 CSE 2101.
Second,Second,0714 02 CSE 2202,Algorithms Laboratory,Core,1.5,None,Sessional,Algorithms Laboratory (0714 02 CSE 2202): Sessional course with 1.5 credits. Prerequisite: None.
Second,Second,0714 02 CSE 2203,Computer Architecture,Core,3.0,None,Theory,Computer Architecture (0714 02 CSE 2203): Theory course with 3.0 credits. Prerequisite: None.
Second,Second,0714 02 CSE 2204,Computer Architecture and Assembly Language Laboratory/project,Core,1.0,None,Sessional,Computer Architecture and Assembly Language Laboratory/project (0714 02 CSE 2204): Sessional course with 1.0 credits. Prerequisite: None.
Second,Second,0714 02 CSE 2205,Database Systems,Core,3.0,None,Theory,Database Systems (0714 02 CSE 2205): Theory course with 3.0 credits. Prerequisite: None.
Second,Second,0714 02 CSE 2206,Database Systems Project/Fieldwork,Core,1.5,None,Sessional,Database Systems Project/Fieldwork (0714 02 CSE 2206): Sessional course with 1.5 credits. Prerequisite: None.
Second,Second,0714 02 ECE 2251,Digital Electronics,Core,2.0,None,Theory,Digital Electronics (0714 02 ECE 2251): Theory course with 2.0 credits. Prerequisite: None.
Second,Second,0541 02 Math 2251,"Vector Analysis, Complex Variable and Mathematical Methods",Core,3.0,None,Theory,"Vector Analysis, Complex Variable and Mathematical Methods (0541 02 Math 2251): Theory course with 3.0 credits. Prerequisite: None."
Third,First,0714 02 CSE 3101,Data Communication and Computer Networks,Core,3.0,None,Theory,Data Communication and Computer Networks (0714 02 CSE 3101): Theory course with 3.0 credits. Prerequisite: None.
Third,First,0714 02 CSE 3102,Data Communication and Computer Networks Laboratory/Fieldwork,Core,1.0,None,Sessional,Data Communication and Computer Networks Laboratory/Fieldwork (0714 02 CSE 3102): Sessional course with 1.0 credits. Prerequisite: None.
Third,First,0714 02 CSE 3103,Software Engineering and Information Systems,Core,3.0,None,Theory,Software Engineering and Information Systems (0714 02 CSE 3103): Theory course with 3.0 credits. Prerequisite: None.
Third,First,0714 02 CSE 3104,Software Engineering and Information Systems Project/Fieldwork,Core,1.5,None,Sessional,Software Engineering and Information Systems Project/Fieldwork (0714 02 CSE 3104): Sessional course with 1.5 credits. Prerequisite: None.
Third,First,0714 02 CSE 3105,Microprocessors and Microcontrollers,Core,3.0,None,Theory,Microprocessors and Microcontrollers (0714 02 CSE 3105): Theory course with 3.0 credits. Prerequisite: None.
Third,First,0714 02 CSE 3106,Microprocessors and Microcontrollers Laboratory/Project/Fieldwork,Core,1.0,None,Sessional,Microprocessors and Microcontrollers Laboratory/Project/Fieldwork (0714 02 CSE 3106): Sessional course with 1.0 credits. Prerequisite: None.
Third,First,0714 02 CSE 3107,Operating System and Systems Programming,Core,3.0,None,Theory,Operating System and Systems Programming (0714 02 CSE 3107): Theory course with 3.0 credits. Prerequisite: None.
Third,First,0714 02 CSE 3108,Operating System and Systems Programming Laboratory/Project,Core,1.0,None,Sessional,Operating System and Systems Programming Laboratory/Project (0714 02 CSE 3108): Sessional course with 1.0 credits. Prerequisite: None.
Third,First,0542 02 Stat 3151,Statistics for Engineers,Core,3.0,None,Theory,Statistics for Engineers (0542 02 Stat 3151): Theory course with 3.0 credits. Prerequisite: None.
Third,First,0413 02 BA 3151,Industrial Management,Core,2.0,None,Theory,Industrial Management (0413 02 BA 3151): Theory course with 2.0 credits. Prerequisite: None.
Third,Second,0714 02 CSE 3201,Artificial Intelligence,Core,3.0,None,Theory,Artificial Intelligence (0714 02 CSE 3201): Theory course with 3.0 credits. Prerequisite: None.
